,info,sold_at,status,limit_price,nr
19,"Wochenendgrundstück mit Bungalow Bungalowsiedung ""Am Hang"" 8, 04720 Großweitzschen","22.000,00",Verkauft,"19.000,00",S21-03-061
,info,sold_at,status,limit_price,nr
0,"Grundstück im Naherholungsgebiet ""Brettmühlenteich"" Am Stausee 01561 Thiendorf","8.500,00",Verkauft,"1.000,00",S21-03-062
1,Dreiseitenhof Reichenbacher Straße 228 08468 Heinsdorfergrund,"22.000,00",Verkauft,"2.000,00",S21-03-063
2,überwiegend vermietetes Wohn- und Geschäftshaus Radeburger Landstraße 14 01108 Dresden,"295.000,00",Verkauft,"295.000,00",S21-03-064
3,Teileigentum Nr. 1 / Appartement in bevorzugter Wohnlage Theodorstraße 7 01279 Dresden,"134.000,00",Verkauft,"55.000,00",S21-03-065
4,"unbebautes Grundstück / Bauerwartungsland Mügelner Straße, Flurstück 197 04749 Ostrau","11.000,00",Verkauft,"1.000,00",S21-03-069
5,vermietetes Wohnhaus Am Wasser 10 04741 Roßwein,"51.000,00",Verkauft,"50.000,00",S21-03-070
6,Gaststätte mit Betreiberwohnung Blücherstraße 23 04720 Döbeln,"49.000,00",Verkauft,"15.000,00",S21-03-071
7,Wohnhaus Königstraße 16 01623 Lommatzsch,"29.000,00",Verkauft,"19.000,00",S21-03-072
8,Mehrfamilienhaus Frankenberger Straße 187 09131 Chemnitz,"314.000,00",Verkauft,"250.000,00",S21-03-074
9,Eigentumswohnung Nr. 4 Südstraße 26 09125 Chemnitz,"29.000,00",Verkauft,"29.000,00",S21-03-076
10,Wohn- und Geschäftshaus im Wintersportort Klingenthal Auerbacher Straße 137 08248 Klingenthal,"150.000,00",Verkauft,"150.000,00",S21-03-078
11,ehem. Bahnobjekt und Kleingärten Bahnhofstraße / Am Bahnhof 08485 Lengenfeld/Vogtland,"36.500,00",Verkauft,"9.000,00",S21-03-081
12,unbebautes Grundstück Polenzstraße 08485 Lengenfeld,"3.000,00",Verkauft,"1.000,00",S21-03-082
13,unbebautes Grundstück Flurstück 243 08548 Rosenbach/Vogtland,"2.000,00",Verkauft,"500,00",S21-03-083
14,Mehrfamilienhaus Hauptstraße 53 08228 Rodewisch,"39.000,00",Verkauft,"39.000,00",S21-03-084
15,ehem. Verwaltungsgebäude Steinweg 1/ Kloster Str. 23 09456 Annaberg-Buchholz,"56.000,00",Verkauft,"29.000,00",S21-03-085
16,"Grünflächen Pohlwaldsiedlung, 08066 Zwickau","31.500,00",Verkauft,"2.000,00",S21-03-086
17,"Splitter- und Wegefläche gegenüber VW Standort Zwickau Flurstücke 521/10, 304/2 08058 Zwickau","5.000,00",Verkauft,"1.000,00",S21-03-087
18,"unbebautes Grundstück mit Weg Untere Hauptstraße, Flurstück 221a 09337 Bernsdorf (Zwickau)","2.000,00",Verkauft,"500,00",S21-03-088
19,attraktives Wohn- und Geschäftshaus in Schlossnähe Friedhofstraße 19 07973 Greiz,"343.000,00",Verkauft,"320.000,00",S21-03-089
,info,sold_at,status,limit_price,nr
0,"2,8 ha Waldfläche Flurstück 2362/3 07973 Zeulenroda-Triebes","21.000,00",Verkauft,"14.000,00",S21-03-091
1,"1,3 ha Waldflächen Flurstücke 50/1, 542/2 07907 Schleiz","17.000,00",Verkauft,"3.000,00",S21-03-092
2,"Waldfläche Flurstücke 35,115,170,172,177 07356 Bad Lobenstein","500,00",Verkauft,"500,00",S21-03-093
3,ehem. Bahnhof Saalstraße 07356 Bad Lobenstein,"18.000,00",Verkauft,"3.000,00",S21-03-094
4,Kleingartenanlage Langenschader Str. 07318 Saalfeld/Saale,"43.000,00",Verkauft,"7.500,00",S21-03-095
5,ehem. Bahnobjekt Am Bahnhof 225 09496 Marienberg,"21.000,00",Verkauft,"1.000,00",S21-03-096
6,"Garten- und Erholungsgrundstück Adorfer Straße, Flst. 89 und nähe Eibenberger Straße, Flst. 217 09235 Burkhardtsdorf","13.000,00",Verkauft,"2.000,00",S21-03-097
7,"3,6 ha Forstflächen nahe Natursee und Campingplatz An der S 177, Flurstücke 612/5, 152/13, 152/15 01796 Pirna","21.500,00",Verkauft,"9.000,00",S21-03-098
8,"1,1 ha Waldfläche nähe Mühlenstraße, Flste. 675/3, 260/7 01768 Glashütte","5.000,00",Verkauft,"2.000,00",S21-03-099
9,"Landwirtschafts- und Wegeflächen Müglitztalstraße, Flurstücke 37, 142, 173/1, 173/2, 173/3 01809 Müglitztal","7.000,00",Verkauft,"5.000,00",S21-03-100
10,"Wald- und Wiesenflächen Flurstücke 126k, 212/4, 519a 01816 Bad Gottleuba-Berggießhübel","5.500,00",Verkauft,"1.000,00",S21-03-101
11,"Waldflächen Flurstücke 615a, 736 01816 Bad Gottleuba-Berggießhübel","2.000,00",Verkauft,"500,00",S21-03-102
12,"Wohnhaus mit 2 separaten Eingängen Hauptstraße 144, 144a 01906 Burkau","39.000,00",Verkauft,"35.000,00",S21-03-103
13,"Herrenhaus eines ehemaligen Rittergutes mit Wirtschaftsgebäuden Schulstraße 13, 15, 17 01917 Kamenz","52.000,00",Verkauft,"9.000,00",S21-03-104
14,Waldgrundstücke 02999 Lohsa,"170.000,00",Verkauft,"96.000,00",S21-03-105
15,"unbebautes Grundstück nähe Im Haberfeld, Flurstück 6326 78166 Donaueschingen","9.000,00",Verkauft,"3.000,00",S21-03-106
16,ehemaliges Verwaltungshaus des Rittergutes Kleinradmeritz Schloßweg 1 02708 Löbau,"13.000,00",Verkauft,"7.000,00",S21-03-108
17,Mehrfamilienhaus mit befahrbarem Grundstück Hauptstraße 39 02763 Zittau,"27.000,00",Verkauft,"12.000,00",S21-03-109
18,"Waldfläche Valtentalstraße, Flurstück 1989 01904 Neukirch/Lausitz","10.000,00",Verkauft,"1.000,00",S21-03-110
19,Splitter- und Wegefläche diverse Flurstücke 01936 Schwepnitz,"500,00",Verkauft,"500,00",S21-03-111
,info,sold_at,status,limit_price,nr
0,"1,7 ha Wald- und Wegefläche Flurstücke 77/1, 90/1 02999 Lauta","10.000,00",Verkauft,"2.000,00",S21-03-112
1,"Splitterflächen nähe Weststraße, Flurstücke 54/2, 55/2, 57/2, 548/4 02991 Lauta","2.600,00",Verkauft,"500,00",S21-03-113
2,"Sukzessionsflächen Joseph-Haydn-Straße, div. Flurstücke 02991 Lauta","4.000,00",Verkauft,"500,00",S21-03-114
3,Mehrfamilienhaus Vater-Jahn-Straße 11 06712 Zeitz,"196.000,00",Verkauft,"95.000,00",S21-02-001
4,Eigentumswohnung Nr. 9 Auestraße 16 - 17 06712 Zeitz,"29.000,00",Verkauft,"12.000,00",S21-02-002
5,Grundstücke mit Gebäuderesten (ehem. Gasthaus) Bonauer Straße 15 06682 Teuchern,"12.500,00",Verkauft,"3.000,00",S21-02-003
6,"Sanierungsobjekt (Wohnblock mit 2 Eingängen) bei Leipzig Ernst-Thälmann-Straße 28, 30 06729 Elsteraue","142.000,00",Verkauft,"49.000,00",S21-02-004
7,Einfamilienhaus mit Nebengebäuden Sporaer Straße 6 06729 Elsteraue,"9.000,00",Verkauft,"3.000,00",S21-02-005
8,sanierungsbedürftiges Wohn- und Geschäftshaus in Marktnähe Große Burgstraße 5 06667 Weißenfels,"88.000,00",Verkauft,"60.000,00",S21-02-007
9,sanierungsbedürftiges Wohn- und Geschäftshaus in Marktnähe Große Burgstraße 3 06667 Weißenfels,"32.000,00",Verkauft,"25.000,00",S21-02-008
10,zwei Wohnhäuser in zentraler Lage Thomas-Müntzer-Straße 4 - 4a 06647 Finneland,"22.000,00",Verkauft,"10.000,00",S21-02-009
11,Bungalow am See Zum Brandberg 15 04680 Colditz,"22.000,00",Verkauft,"10.000,00",S21-02-010
12,sanierungsbedürftiges Wohnhaus Altenhainer Straße 12 04687 Trebsen/Mulde,"20.000,00",Nachverkauft,"20.000,00",S21-02-011
